tfcwkerMvmnCnterNm,rdnmadr,lnmadr,latitude,longitude,carHoldCo,carHoldKnd,slopeVhcleCo,liftVhcleCo,rceptPhoneNumber,rceptItnadr,appSvcNm,weekdayRceptOpenHhmm,weekdayRceptColseHhmm,wkendRceptOpenHhmm,wkendRceptCloseHhmm,weekdayOperOpenHhmm,weekdayOperColseHhmm,wkendOperOpenHhmm,wkendOperCloseHhmm,beffatResvePd,useLmtt,insideOpratArea,outsideOpratArea,useTrget,useCharge,institutionNm,phoneNumber,referenceDate,insttCode,insttNm
홍성군 교통약자이동지원센터,충청남도 홍성군 홍성읍 조양로33번길 17,충청남도 홍성군 홍성읍 옥암리 62-8,36.59770889,126.6558164,12,카니발,12,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,07:00,19:30,00:00,00:00,08:00,20:00,09:00,18:00,1일전,,홍성군,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1300원(2km), km당 130원",충남지체장애인협회 홍성군지부,041-634-0026,2023-07-31,6440000,충청남도
예산군 교통약자이동지원센터,충청남도 예산군 예산읍 벚꽃로 155번길 10,충청남도 예산군 예산읍 발연리 85-5 예산군사랑채 105호,36.69471087,126.8353696,10,카니발+스타렉스,10,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,08:00,17:30,08:00,17:30,09:00,18:00,09:00,18:00,7일전,위증증환자,예산군,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 예산군지부,041-335-3330,2023-07-31,6440000,충청남도
태안군 교통약자이동지원센터,충청남도 태안군 태안읍 후곡로 83,충청남도 태안군 태안읍 남문리 712-13,36.74591186,126.3018915,3,카니발,3,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,08:00,17:30,00:00,00:00,09:00,18:00,00:00,00:00,15일전,중증환자,태안군,충청남도,"교통약자법 시행규칙 제7조에 해당되는 사람, 임신부, 영유아 동반자","관내 기본요금 1500원(2km), km당 130원",충남지체장애인협회 태안군지부,041-674-5278,2023-07-31,6440000,충청남도
의왕시 교통약자이동지원센터(경기도 광역 이동서비스),경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 602-2,37.30274385,126.959074,14,카니발,14,0,1666-0420,https://ggsts.gg.go.kr/front/index.do,경기도교통약자이동지원시스템,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일전,"장애인등록증 미소지자나 유효기간 경과자+운전원의 정당한 본인확인 요구를 거부하거나, 신청인 본인이 아닌 다른 사람에게 차량을 양도하는 경우+중증 환자가 보호자 없이 탑승하거나, 사고 발생가능성이 있는 경우+2열 보호자석(1개좌석)이상의 물건을 적재하는 경우+상담원,운전원에게 폭언,폭행,욕설,성희롱 등을 하는 경우+상담원의 상담이나 예약을 방해하거나 장난 전화를 주기적으로 할 경우+이동지원센터와 특별교통수단의 기물을 손괴한 경우+이용 후 이용요금",전지역,경기+서울+인천,교통약자의 이동편의 증진법 시행규칙 제6조제1항에 따른 중증보행장애인으로 별표1에 따른 이용자+대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서(의료법 제3조에 따른 종합병원급 이상에서 발급)를 제출한 휠체어 이용자+제1항 제1~2호에 해당하는 교통약자와 동반하는 가족 또는 보호자,"기본요금: 1,500원(10km 초과 5km당 100원 추가요금)",의왕도시공사,031-8086-7469,2025-11-04,4030000,경기도 의왕시
의성군교통약자이동지원센터,경상북도 의성군 의성읍 잔보들길 130,경상북도 의성군 의성읍 철파리 418-6,36.3594974,128.6801537,5,그랜드카니발+올뉴카니발,5,0,054-833-2979,http://cafe.daum.net/1447--,,09:00,18:00,09:00,18:00,00:01,23:59,00:01,23:59,1일,이용고객이차량을예약하고비장애인만승차시키는경우+보호자의 동반탑승은 최초 탑승시 같이 동승하여야하며 중도에 보호자만 개별적으로 승하차하는경우+차량이용후요금납부를 거부하는 경우+상습적으로 차량예약을 취소하는경우,의성군 전지역,경상북도+대구광역시,1~2급장애인+3급장애인중 65세이상인자또는 대중교통 이용이 어려운자+임산부,성군관내지역( 기본5km 1300원+초과1km당 200원추가+한도5000원)+경상북도와대구광역시 행선지구간별 시외버스요금의 2배(의성+안계버스터미널요금기준),경상북도 의성군청,054-830-6251,2025-11-06,5150000,경상북도 의성군
경북광역이동지원센터,경상북도 구미시 산책길 33-4,경상북도 구미시 원평동 468,36.1237503,128.332153,23,스타렉스+카니발,23,0,1899-7770,brmcall.co.kr,경북 광역이동지원센터,11:00,18:00,11:00,18:00,00:00,23:59,00:00,23:59,3일전,22-06시 관외제외,구미시전역,경북 내+대구광역시+김천구미KTX역,심한장애중 보행상장애인+임산부+65세이상(대중교통이용어렵다는 진단서제출),기본1100원/5km 외 추가 1km당 200원,경상북도 구미시청,054-480-2902,2025-03-10,5080000,경상북도 구미시
임실군장애인연합회 교통약자이동지원센터,전북특별자치도 임실군 임실읍 호국로 1644,전북특별자치도 임실군 임실읍 이도리 380-2,35.61026512,127.283295,7,스타리아2대+카니발 5대,0,7,063-642-5118,해당없음,,09:00,10:00,09:00,10:00,07:00,22:00,07:00,19:00,해당없음,,임실군 전지역,관내인탑승시 전지역,보행상의 장애인으로서 장애의 정도가 심한 장애인+65세 이상 노약자(의사소견서첨부),권역내(2km 기본요금 700원 외 1km당 100원)+권역외(2km 기본요금 700원 외 700m당 100원),전북특별자치도 임실군청,063-640-2603,2025-04-01,4761000,전북특별자치도 임실군
고양시 교통약자이동지원센터,경기도 고양시 일산동구 강송로 14,경기도 고양시 일산동구 백석동 1233,37.64247907,126.7953758,79,승합(중형)+카니발 저상장애인차,79,0,1666-0420,ggsts.gg.go.kr,,07:00,22:00,07:00,22:00,00:00,23:59,00:00,23:59,"광역이동시, 이용전일 사전예약",월 3회이상 즉시차량 배차 후 이용신청 취소시+월 3회이상 차량도착 후 10분 내 미승차시+이용자 및 보호자가 상담원 및 운전원에게 폭언폭행성희롱 신체접촉 등으로 업무를 방해한 경우 등,관내 전지역,서울시+인천시+경기도 전지역,① 장애인 1·2급 중 보행상 장애 표준 기준표상의 1·2급 해당자+② 버스·지하철 이용이 어려운 만 65세 이상 노인장기요양등급 1·2급 수급자+③ 교통약자를 동반하는 가족 및 보호자+④ 사고·질병 등 일시적 장애로 휠체어 이용이 불가피하다는 해당 전문의의 진단서를 제출한 사람은 장애등급 발급 기간 동안 3개월 내 한시적 이용 가능,기본 10km 1500원+추가 5km당 100원,고양도시관리공사,031-932-0661,2025-03-28,3940000,경기도 고양시
남해군교통약자이동지원센터,경상남도 남해군 남해읍 선소로75번길 87-22,경상남도 남해군 남해읍 차산리 639,34.84954976,127.9088757,11,스타렉스+카니발,5,6,1566-4488,해당없음,해당없음,07:00,22:00,08:00,19:00,07:00,22:00,08:00,19:00,없음,,남해군,경남전지역+부산,"기존 1~2급 장애인, 장애의 정도가 심한 보행상 장애인65세이상 고령자임산부일시적으로 휠체어 이용하는 자",(관내 기본요금) 2km까지 1000원 (관내 2km 초과 시) 기본요금 1000원 외 1km당 50원 추가+최대2000원+(관외) 시외버스요금 1.5배,경상남도 남해군청,055-860-3455,2025-03-10,5430000,경상남도 남해군
의왕시 교통약자이동지원센터,경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 602-2,37.30274385,126.959074,9,카니발,9,0,1666-0420,해당없음,없음,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,"장애인등록증 미소지자나 유효기간 경과자+운전원의 정당한 본인확인 요구를 거부하거나 신청인 본인이 아닌 다른 사람에게 차량을 양도하는 경우+중증 환자가 보호자 없이 탑승하거나 사고 발생가능성이 있는 경우+2열 보호자석(1개좌석)이상의 물건을 적재하는 경우+상담원,운전원에게 폭언,폭행,욕설,성희롱 등을 하는 경우+상담원의 상담이나 예약을 방해하거나 장난 전화를 주기적으로 할 경우+이동지원센터와 특별교통수단의 기물을 손괴한 경우+이용 후 이용요금을 ",의왕+안양+군포+과천,의왕+경기+서울+인천,"장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표1에 따른 장애의 정도가 심한 장애인으로서 버스, 지하철 등 대중교통 이용이 어려운 사람+65세 이상으로 버스,지하철 등 대중교통 이용이 어려운 사람+버스,지하철 등의 대중교통 이용이 어려운 임산부+그 밖에 혼자서 외출이 곤란하여 시장이 특별교통수단이 필요하다고 인정하는 사람+제1호부터 제4호까지의 규정에 해당하는 교통약자를 동반하는 가족 및 보호자",기본요금: 1500원(10km 초과 5km당 100원 추가요금),의왕도시공사,1666-0420,2025-03-25,B552752,의왕도시공사
의왕시 교통약자이동지원센터(경기도 광역 이동서비스),경기도 의왕시 왕소나무길 29-15,경기도 의왕시 월암동 602-2,37.30274385,126.959074,3,카니발,3,0,1666-0420,https://ggsts.gg.go.kr,없음,07:00,22:00,07:00,22:00,00:00,23:59,00:00,23:59,1일,"당일 예약시간 1시간이내 취소할 경우(당일이용및예약제한)+탑승시 이용자의 신분을 증명하는 신분증(복지카드 등)을 제시하지 못하는 경우+등록 대상자와 이용자가 다른경우(승차거부)+이용요금을 체납한 경우(납부시 까지 이용제한)+상담원에 대한 폭언+운전원에 대한 폭언+폭행 및 안전운전에 방해되는 행동을 한경우(1개월 이용제한, 재발할 경우 영구적 이용제한)+차량 도착후 10분이내에 승차하지 않는 횟수가 월3회 이상인 경우(1개월 이용제한)+예약시간 ",의왕+안양+군포+과천,의왕+경기+서울+인천,"장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표1에 따른 장애의 정도가 심한 장애인으로서 버스, 지하철 등 대중교통 이용이 어려운 사람+65세 이상으로 버스,지하철 등 대중교통 이용이 어려운 사람+버스,지하철 등의 대중교통 이용이 어려운 임산부+그 밖에 혼자서 외출이 곤란하여 시장이 특별교통수단이 필요하다고 인정하는 사람+제1호부터 제4호까지의 규정에 해당하는 교통약자를 동반하는 가족 및 보호자",기본요금: 1500원(10km 초과 5km당 100원 추가요금),의왕도시공사,1666-0420,2025-03-25,B552752,의왕도시공사
의왕시 교통약자이동지원센터(경기도 광역 이동서비스),경기도 의왕시 왕소나무길 29-16,경기도 의왕시 월암동 602-3,38.30274385,127.959074,2,카니발,2,0,1666-0421,해당없음,없음,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,"장애인등록증 미소지자나 유효기간 경과자+운전원의 정당한 본인확인 요구를 거부하거나 신청인 본인이 아닌 다른 사람에게 차량을 양도하는 경우+중증 환자가 보호자 없이 탑승하거나 사고 발생가능성이 있는 경우+2열 보호자석(1개좌석)이상의 물건을 적재하는 경우+상담원,운전원에게 폭언,폭행,욕설,성희롱 등을 하는 경우+상담원의 상담이나 예약을 방해하거나 장난 전화를 주기적으로 할 경우+이동지원센터와 특별교통수단의 기물을 손괴한 경우+이용 후 이용요금을 ",의왕,없음,"장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애인으로서 같은 규칙 별표1에 따른 장애의 정도가 심한 장애인으로서 버스, 지하철 등 대중교통 이용이 어려운 사람+65세 이상으로 버스,지하철 등 대중교통 이용이 어려운 사람+버스,지하철 등의 대중교통 이용이 어려운 임산부+그 밖에 혼자서 외출이 곤란하여 시장이 특별교통수단이 필요하다고 인정하는 사람+제1호부터 제4호까지의 규정에 해당하는 교통약자를 동반하는 가족 및 보호자",기본요금: 1500원(10km 초과 5km당 100원 추가요금),의왕도시공사,1666-0420,2025-03-25,B552752,의왕도시공사
완도군 개인택시 지부(위탁),전라남도 완도군 완도읍 개포로130번길 15,전라남도 완도군 완도읍 군내리 1233-5,34.318879,126.7445341,4,승합,4,0,000-1899-1110,전남광역콜 앱,,08:00,23:00,08:00,23:00,08:00,23:00,08:00,23:00,1일전,,,,장애정도가 심한 장애인+임산부+사고질병 등 일시적 휄체어 이용자,500원,전라남도 완도군청,061-550-5580,2024-08-16,4990000,전라남도 완도군
홍천군교통약자이동지원센터,강원특별자치도 홍천군 홍천읍 너브내길 127,,37.69220143,127.8921726,9,소형승합차,9,0,1577-2014,https://call.gwd.go.kr/,강원특별자치도 교통약자 광역이동지원센터,07:00,22:00,07:00,18:00,07:00,22:00,07:00,18:00,7일~1일전,,홍천군 전지역,강원특별자치도내 타시군,교통약자로 등록된 자,기본 요금 1100원+4km초과시 km당 100원씩 추가요금 발생,강원특별자치도 홍천군청,033-430-2976,2023-10-05,4251000,강원특별자치도 홍천군
수원시교통약자이동지원센터,경기도 수원시 권선구 정조로 310,경기도 수원시 권선구 대황교동 253,37.23777723,127.018347,94,카니발+스타렉스+스타리아,94,0,1666-0420,https://ggsts.gg.go.kr/,경기도 광역이동서비스,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,(광역이동) 이용일 1일 전 07시~22시 선착순,1일 4회 편도 가능(예약: 1일 2회 편도 가능),수원시 전체,서울+경기+인천,보행상 장애가 있는 중증장애인·종합병원에서 대중교통수단의 이용이 어렵워 휠체어 이용이 필요하다는 내용이 담긴 진단서를 제출한 사람 중 센터 심사 승인자   ※ 자세한 사항은 센터 문의,기본거리 10km 1700원+기본거리 초과 시 5km당 100원  추가+고속도로(유료도로)통행료 및 주차료는 이용자 부담,수원도시공사,031-253-5525,2026-01-19,3740000,경기도 수원시
해남군교통약자이동지원센터,전라남도 해남군 해남읍 땅끝대로 77,전라남도 해남군 해남읍 용정리 15-2,34.56036695,126.588356,10,카니발/스타리아,10,0,061-536-3883,해당없음,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일전,,관내 전체지역,광주+전남 전역,1급 또는 2급 장애인+만65세 이상+임산부+교통약자를 동반하는 가족 및 보호자(2명 이내),기본요금(2km) 500원+추가요금(1km당) 100원/최대 1000원,전라남도 해남군,061-530-5369,2026-01-01,4930000,전라남도 해남군
천안시 교통약자이동지원센터,충청남도 천안시 동남구 천중3길 30-1 3층 303호,충청남도 천안시 동남구 원성동 237-6,36.8113382608,127.1564209598,47,카니발+스타렉스,47,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,7일전,"1. 이용고객의 차량을 예약하고 비장애인만 승차 시키는 경우2. 장애등급을 허위 고지하여 우선배차를 받는 등 부정 탑승 행위를 한 경우 3. 운전에 방해를 줄 수 있는 고객 탑승 시 보호자가 동승하지 않는 경우4. 교통약자를 위한 보호자의 동반 탑승은 최초 탑승 시부터 최종 목적지까지 같이 동승하여 타고 내려야 하며, 중도에 보호자만 개별적으로 타고 내리는 경우5. 장애인 보조견을 제외한 운전에 방해를 줄 수 있는 애완동물 및 폭발성, 인화성 ",천안시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 임신부, 일시적장애인","관내 기본요금 1000원(2km), km당 130원",충남지체장애인협회 천안시지부,041-558-0010,2023-07-31,6440000,충청남도
공주시 교통약자이동지원센터,충청남도 공주시 의당면 의당로 257 장애인복지센터 203호,충청남도 공주시 의당면 청룡리 903,36.49366156,127.1356957,18,카니발,18,0,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,06:00,20:00,09:00,16:00,07:00,20:00,09:00,16:00,1개월전,"1. 이용고객의 차량을 예약하고 비장애인만 승차 시키는 경우 2. 장애등급을 허위 고지하여 우선배차를 받는 등 부정 탑승 행위를 한 경우 3. 운전에 방해를 줄 수 있는 고객 탑승 시 보호자가 동승하지 않는 경우 4. 교통약자를 위한 보호자의 동반 탑승은 최초 탑승 시부터 최종 목적지까지 같이 동승하여 타고 내려야 하며, 중도에 보호자만 개별적으로 타고 내리는 경우 5. 장애인 보조견을 제외한 운전에 방해를 줄 수 있는 애완동물 및 폭발성, 인",공주시,충청남도,교통약자법 시행규칙 제6조에 해당되는 사람,"관내 기본요금 1600원(2km), km당 130원",충남지체장애인협회 공주시지부,041-881-7632,2023-07-31,6440000,충청남도
보령시 교통약자이동지원센터,충청남도 보령시 주공로8 대동빌딩 3층 2호,충청남도 보령시 명천동 1037,36.34544473,126.6020154,11,카니발+스타렉스,9,2,1644-5588,없음,충남 광역이동지원센터 이용자용 앱,06:00,20:30,06:00,20:30,07:00,21:00,07:00,21:00,7일전,"1. 이용고객의 차량을 예약하고 비장애인만 승차 시키는 경우 2. 운전에 방해를 줄 수 있는 고객 탑승 시 보호자가 동승하지 않는 경우 3. 교통약자를 위한 보호자의 동반 탑승은 최초 탑승 시부터 최종 목적지까지 같이 동승하여 타고 내려야 하며, 중도에 보호자만 개별적으로 타고 내리는 경우 4.차량 이용 후 요금 납부를 거부한 경우5. 예약이 된 차량을 센터 동의 없이 타인에게 양도한 경우 6. 상습적로 차량 예약 취소가 잦은 경우 7. 과도한",보령시,충청남도,"교통약자법 시행규칙 제6조에 해당되는 사람, 일시적장애인","관내 기본요금(시 지원)1600원(2km), km당 130원",충남지체장애인협회 보령시지부,041-933-3517,2023-07-31,6440000,충청남도
경기도 시흥시 교통약자이동지원센터,,경기도 시흥시 능곡동 808-1,37.36430392,126.8072583,33,카니발,35,0,1522-3650,https://ggsts.gg.go.kr/,경기도 광역이동지원서비스,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,"다음 제한사항의 각 호에 해당할 경우 동기와 횟수 등을 참작하여 당일 이용제한 및 1개월의 범위 내에서 이용을 제한할 수 있다.+1. 휠체어 1대를 초과하여 승차를 요구할 경우(접었을 경우 2대 가능)+2. 휠체어 이용자 1인을 포함한 4인(비휠체어 이용시 3인) 초과 승차를 요구할 경우+3. 복지카드, 진단서 사본, 진료카드를 제시하지 않는 경우+4. 상담원 및 운전원의 정당한 요구 및 안내에 불응하는 경우+5. 상담원 및 운전원에게 욕설이나",시흥시 전지역,수도권 전지역,"다음 제한사항의 각 호에 해당할 경우 동기와 횟수 등을 참작하여 당일 이용제한 및 1개월의 범위 내에서 이용을 제한할 수 있다.+1. 휠체어 1대를 초과하여 승차를 요구할 경우(접었을 경우 2대 가능)+2. 휠체어 이용자 1인을 포함한 4인(비휠체어 이용시 3인) 초과 승차를 요구할 경우+3. 복지카드, 진단서 사본, 진료카드를 제시하지 않는 경우+4. 상담원 및 운전원의 정당한 요구 및 안내에 불응하는 경우+5. 상담원 및 운전원에게 욕설이나 폭행을 하는 경우+6. 이동지원센터 및 특별교통수단의 기물을 손괴한 경우+7. 특정 차량 및 운전자의 지정을 요구하는 경우+8. 음주 후 이용하는 경우+9. 차량 출발이나 차량 도착 후 이용을 취소한 경우+10. 화물 운송 등의 목적으로 이용하는 경우+11. 이용대상자가 아닌 사람을 부정하게 이용할 수 있도록 돕거나 방치한 경우",(26.1월부터) 기본요금 1650원(10Km)+ 5Km 초과당 100원 추가+ 주차료는 이용자 부담(통행료 부담 X),시흥도시공사,031-488-6910,2025-11-05,4010000,경기도 시흥시
군산시 교통약자 이동지원센터,전북특별자치도 군산시 설림길 25,전북특별자치도 군산시 소룡동 1530,35.97302347,126.684383,33,그랜드 카니발,33,0,063-227-0002,www.0632270002.com,전북특별자치도 광역이동지원센터 승객용 앱,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,이용일 기준 8일전부터 신청 전일 17시까지,,군산시 전역,전북특별자치도 도내,장애인 및 휠체어 이용자 등 교통약자,기본 700원 + 추가1km 당 100원,전북특별자치도 군산시청,063-454-3783,2025-09-30,4671000,전북특별자치도 군산시
양구군 장애인생활이동지원센터,강원특별자치도 양구군 양구읍 비봉로73번길 12,강원특별자치도 양구군 양구읍 하리 98-9,38.10874852,127.9864049,2,스타렉스+스파크,0,0,033-481-7575,해당없음,없음,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,7일,없음,양구군 전지역,춘천+원주+서울,모든 장애인,관내 무료+춘천왕복 12천원+서울왕복28천원,사)강원특별자치도시각장애인연합회 양구군지회,033-481-7575,2024-09-06,4321000,강원특별자치도 양구군
전남지체장애인협회 화순군지회,"전라남도 화순군 화순읍 충의로 8, 정윤빌딩 2층 201호(홍마트)",,35.0555071100,126.9786567000,8,카니발,8,0,061-287-8341,https://www.doumcall.kr/,,10:00,18:00,10:00,17:30,01:00,23:59,08:00,17:00,연중,보건복지부 고시에 따른 보행상 장애 표준기준표에 따라 등록,관내 전읍면,광주광역시,"장애의 정도가 심한 장애인 대중교통 이용이 어려운자+65세 이상으로 대중교통 이용이 어려운자+대중교통 이용이 어려운 임산부, 일시적 휠체어 이용자+이용대상자를 동반하는 가족 및 보호자 2인 이내","기본요금 500원~1000원으로 하며 관내 시군내 버스요금, 관외 시외버스 요금 적용",전라남도 화순군,061-379-3783,2024-08-12,4900000,전라남도 화순군
거창군교통약자이동지원센터,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332,9,카니발+스타렉스,7,2,1566-4488,해당없음,경남특별교통수단,00:00,23:59,00:00,23:59,05:00,23:00,07:00,22:00,전날 21:00,,거창군 관내,경상남도+대구광역시(치료목적만 편도로 이용가능),보행상 장애인+65세이상 노인+임산부+휠체어이용자(대중교통 이용이 어려운자)+동반하는 가족 및 보호자,관내 : 2000원+관외 : 시외버스 요금의 1.5배,경상남도 거창군청,055-940-3388,2024-09-23,5470000,경상남도 거창군
경북지체장애인협회 봉화군지회,경상북도 봉화군 봉화읍 내성천2길 93,경상북도 봉화군 봉화읍 내성리 361-1,36.89365762,128.737331,5,카니발,5,0,1899-7770,없음,,07:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,14일전,비장애인만 승차하는 경우+주말 차량운행 안함,봉화군 전지역,경상북도+대구광역시+태백시+영월군+삼척시,중증장애1~2급+재가등급+만65세이상노약자(의사소견서첨부)+임산부 및 교통약자를 동반하는 보호자,10km 1000원+10km초과 시 km당 200원 추가+고속도로(유로도로) 통행료는 이용자 부담,경상북도 봉화군청,054-679-6294,2024-09-26,5240000,경상북도 봉화군
(사)한국지체장애인협회 부여군지회,충청남도 부여군 규암면 흥수로 816,충청남도 부여군 규암면 내리 246-3,36.27331214,126.8712172,9,카니발,9,0,041-836-0700,해당없음,충남 광역이동지원센터 이용자용 앱,09:00,18:00,09:00,09:00,00:00,00:00,00:00,00:00,7일전,,부여군전역,대전광역시+충청남도,중중보행장애인+임산부+24개월이하 영유아(동반1인),기본요금 2KM 이내 1300원+Km당 130원,부여군청 경제교통과,041-830-2277,2025-12-15,4570000,충청남도 부여군
하남시교통약자이동지원센터-나눔콜,경기도 하남시 창우로 146,경기도 하남시 창우동 539,37.53891397,127.2303558,30,카니발,30,0,1666-0420,https://ggsts.gg.go.kr,경기도 광역이동지원시스템,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,1달 이내 운행 중 취소 및 도착 후 취소가 누적6회 이상인경우 7일 이용정지,하남시 전체,수도권,중증보행장애인+휠체어 이용자(종합병원급 이상 발급 진단서 제출) 등,기본요금 10KM 당 1700원+5KM 당 100원 추가,경기도 하남시청 교통정책과,031-790-5095,2025-12-10,4040000,경기도 하남시
태안군 교통약자 이동지원센터,충청남도 태안군 태안읍 후곡로 83,,36.74591186,126.3018915,4,카니발,4,1,1644-5588,해당없음,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,2일(관외),중증환자,태안군,태안군 외 지역,보행상 장애인(장애인복지법상 정도가 심한 장애인)+65세 이상 대중교통 이용이 어려운 사람+임산부 및 영유아 동반자,관내지역(태안) 기본요금 2km까지 1500원+추가거리요금 1km당 150원+운임상한액 태안군 농어촌버스 요금 2배 이하(3000원)+관외지역(태안외) 기본요금 도착지 시외버스 요금+거리요금 1km당 260원+관외지역 요금은 시외버스 요금의 두배를 넘지 않음+차량 대기 필요시 대기료 30분당 2000원,충청남도 태안군,041-670-2719,2024-08-26,4620000,충청남도 태안군
강원특별자치도교통약자광역이동지원센터,강원특별자치도 춘천시 중앙로1,강원특별자치도 춘천시 봉의동 15,37.88007265,127.7279085,8,카니발,8,8,1577-2014,http://call.gwd.go.kr/main.do,,09:00,18:00,09:00,18:00,09:00,18:00,00:00,00:00,6~7일,관외는 병원목적,강원특별자치도 태백시,강원특별자치도,1. 「장애인복지법 시행규칙」제2조제1항에 따라 제1급 또는 제2급 장애인으로서 버스 등의 이용이 어려운 자 <개정 2013.07.05>2. 65세 이상의 자로서 버스 등의 이용이 어려운 자3. 일시적으로 휠체어를 이용하는 자로서 버스 등의 이용이 어려운 자4. 제1호부터 제3호까지 해당하는 교통약자를 동반하는 가족 및 보호자5. 그 밖에 특별교통수단이 필요하다고 인정되는 사람,1. 관내요금은 「여객자동차 운수사업법 시행령」제3조제2호다목에 따른 일반택시요금의 100분의 50에 해당하는 금액 이하로 한다.2. 관외요금은 해당구간의 시외버스요금의 2배를 초과할 수 없다.,강원특별자치도 태백시청,033-553-1112,2024-08-23,4221000,강원특별자치도 태백시
보은군장애인생활이동지원센터,충청북도 보은군 보은읍 뱃들로 68-38,충청북도 보은군 보은읍 이평리 105-2,36.4886825,127.7234966,2,카니발,0,0,1533-0220,충청북도광역이동지원센터 (essetel.co.kr),충청북도광역이동지원센터,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,3일전,없음,보은군 전지역,청주+대전,등록된 장애인,10km당 1000원,충청북도 (사)충북시각장애인복지연합회보은군지회,043-543-2705,2024-07-01,4420000,충청북도 보은군
평택시 교통약자이동지원센터,경기도 평택시 도일유통길 25 평택도시공사 3층,경기도 평택시 도일동 1169-5,37.038605,127.100693,55,카니발,55,0,031-651-4700,http://ggsts.gg.go.kr,경기도광역이동지원시스템,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,이용 1일 전,"『경기도 특별교통수단 광역이동서비스 표준지침』제17조(이용 제한) ① 이용자가 다음 각호의 어느 하나를 누적 위반 시 광 역 및 시군센터간 협의를 통해 7일간 차량 이용을 제한 할 수 있다. 1. 장애인등록증 미소지자나 유효기간 경과자 2. 운전원의 정당한 본인확인 요구를 거부하거나, 신청인 본인이 아닌 다른 사람에게 차량을 양도하는 경우 3. 중증 환자가 보호자 없이 탑승하거나, 사고 발생 가능성이 있는 경우 4. 2열 보호자석(1개 좌석) ",평택시 전지역,서울+경기+인천+인접지역(천안+아산),「교통약자의 이동편의 증진법 시행규칙」제6조제1항에 따른 중증보행장애인+대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서(의료법 제3조에 따른 종합병원급 이상에서 발급)를 제출한 휠체어 이용자,기본요금 10km까지 1500원+추가 5km당 100원+고속도로(유료도로) 통행료 무료+유료주차요금 이용자 부담,평택도시공사,031-8053-1552,2025-02-21,3910000,경기도 평택시
용인시교통약자이동지원센터,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 42-1,37.24963097,127.165158,76,카니발,76,0,1666-0420,https://ggsts.gg.go.kr/,,07:00,22:00,07:00,22:00,00:00,23:59,00:00,23:59,없음,,용인전역,수도권,○특별교통수단 대상자+1. 교통약자이동편의 증진법 시행규칙 제6조 제1항에 따른 중증 보행 장애인으로 별표1에 따른 이용자+2. 대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서 (의료 법 제3조에 따른 종합병원 급 이상에서 발급)를 제출한 휠체어 이용자+○대체수단(바우처택시) 이용대상자+1. 보행상장애가 있는 심한 장애인중 휠체어를 이용하지 않는 사람+2. 이동에 심한 불편을 느끼는 교통약자로서 대체수단이 필요하다고 인정하는 사람+3. 임산부 임신확인서 기준으로 임신 확인일 ~ 출산 후 6개월까지 이용 가능,"교통약자 특별교통수단(운영범위: 서울특별시, 인천광역시, 경기도 전역) 기본요금 1500원/10Km(추가 거리할증 100원/5Km)+교통약자 콜택시 1500원(운행거리 상관없음)",용인도시공사,031-330-3900,2025-04-09,B552739,용인도시공사
